state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Arkansas,1872,Elisha,Baxter,Republican,Male,1899-05-31,Challenger,3.591560637783857,South,Win,45.18001368925393,71.74537987679672,26.56536618754278
Arkansas,1872,Joseph,Brooks,Democrat,Male,1877-04-30,Challenger,-3.591560637783857,South,Lose,60.01095140314853,64.49281314168378,4.48186173853525
Arkansas,1874,Augustus,Garland,Democrat,Male,1899-01-26,Challenger,100,South,Win,42.40109514031485,66.62559890485969,24.22450376454483
Arkansas,1876,William,Miller,Democrat,Male,1887-11-29,Challenger,31.592595735852967,South,Win,52.95277207392197,64.0164271047228,11.063655030800822
Arkansas,1878,William,Miller,Democrat,Male,1887-11-29,Challenger,100,South,Win,54.95140314852841,64.0164271047228,9.065023956194388
Arkansas,1882,James,Berry,Democrat,Male,1913-01-30,Challenger,27.945651301435333,South,Win,41.4757015742642,71.709787816564,30.234086242299796
Arkansas,1884,Thomas,Boles,Republican,Male,1905-03-13,Challenger,-29.10925810972526,South,Lose,47.30732375085558,67.65503080082135,20.347707049965777
Arkansas,1884,Simon,Hughes,Democrat,Male,1906-06-29,Challenger,29.10925810972526,South,Win,54.562628336755644,76.20533880903491,21.642710472279262
Arkansas,1886,Simon,Hughes,Democrat,Male,1906-06-29,Challenger,25.28245561905289,South,Win,56.56125941136208,76.20533880903491,19.644079397672826
Arkansas,1888,James,Eagle,Democrat,Male,1904-12-20,Challenger,8.150319887521661,South,Win,51.238877481177276,67.35934291581108,16.12046543463381
Arkansas,1890,James,Eagle,Democrat,Male,1904-12-20,Challenger,11.013956792444944,South,Win,53.23750855578371,67.35934291581108,14.121834360027378
Arkansas,1892,William,Fishback,Democrat,Male,1903-02-09,Challenger,45.641580942068224,South,Win,61.002053388090346,71.26078028747433,10.258726899383984
Arkansas,1894,James,Clarke,Democrat,Male,1916-10-01,Challenger,48.29226713184133,South,Win,40.21629021218344,62.119096509240244,21.90280629705681
Arkansas,1894,H.,Remmel,Republican,Male,1927-10-14,Challenger,-48.29226713184133,South,Lose,42.8062970568104,75.74264202600958,32.936344969199176
Arkansas,1896,Daniel,Jones,Democrat,Male,1918-12-25,Challenger,43.54199651834171,South,Win,56.89253935660506,79.02532511978097,22.132785763175907
